target,model,r2,rmse,dir_acc,n_oos_periods
y_IWM,quantile,0.04135330534142023,0.08771483885271793,0.6685393258426966,178
y_IWM,elasticnet,0.0060304257170752384,0.08931621811253884,0.6685393258426966,178
y_IWM,lasso,-0.003987936737533504,0.08976520510909623,0.6685393258426966,178
y_IWM,huber,-0.01957688907748989,0.09045941432154872,0.6179775280898876,178
y_IWM,ridge,-0.07771802186377896,0.09300287045466153,0.6123595505617978,178
y_IWM,ols,-0.09063207002005225,0.09355842717852554,0.6123595505617978,178
y_QQQ,quantile,-0.012724196286275857,0.07746589431570061,0.7808988764044944,178
y_QQQ,lasso,-0.06608451382168035,0.07948053159899966,0.7584269662921348,178
y_QQQ,huber,-0.07750587728758096,0.07990514973626982,0.7584269662921348,178
y_QQQ,elasticnet,-0.10979718486395251,0.08109363262004861,0.7528089887640449,178
y_QQQ,ridge,-0.18427226928730134,0.08377042635898962,0.7359550561797753,178
y_QQQ,ols,-0.19930565202244388,0.08430044866199896,0.7303370786516854,178
y_SPY,quantile,0.03197915248477001,0.060370491494236324,0.7584269662921348,178
y_SPY,lasso,-0.1071356650996067,0.06456286245552743,0.7471910112359551,178
y_SPY,elasticnet,-0.13114755589334082,0.06525923629293223,0.7303370786516854,178
y_SPY,huber,-0.13093170320486913,0.06525300940696799,0.6966292134831461,178
y_SPY,ridge,-0.2734874607226927,0.06924360860557087,0.6910112359550562,178
y_SPY,ols,-0.29784743349548903,0.06990273652475887,0.6741573033707865,178
